Land Use,Latitude,Longitude,Measure,StationID1,Station ID,Station Name,Value,Year
Urban,32.9072,-117.23055,Mortality,906LPLPC6,906LPLPC6,Los Penasquitos Creek 6,,1/1/09
Urban,32.78032,-117.11046,Mortality,907SDRWAR,907SDRWAR,San Diego River at Ward Road,0,1/1/09
Urban,32.65898,-117.04231,Mortality,909SWRWSx,909SWRWSx,Sweetwater River at Willow Street,,1/1/09
Urban,32.55142,-117.08394,Mortality,911TJHRxx,911TJHRxx,Tijuana River at Hollister Rd,,1/1/09
Urban,41.9134,-124.17162,Mortality,103SM1009,103SM1009,Smith River at Sarina Road,27.4,1/1/10
Open,41.5171,-124.03896,Mortality,105KLAMKK,105KLAMKK,Klamath River at Kamp Klamath,13.7,1/1/10
Open,40.91763,-124.08946,Mortality,109MAD101,109MAD101,Mad River upstream Hwy 101,30.1,1/1/10
Open,40.61129,-124.20407,Mortality,111EELFRN,111EELFRN,Eel River at Fernbridge,34.2,1/1/10
Open,40.26178,-123.88023,Mortality,111SF0933,111SF0933,Eel River - South Fork at Myers Flat,40.5,1/1/10
Open,39.15911,-123.63861,Mortality,113NA3269,113NA3269,Navarro River at Dimmick State Park,42.1,1/1/10
Open,38.49254,-122.88327,Mortality,114LAGWOH,114LAGWOH,Laguna de Santa Rosa upstream of Wohler Street Bridge,8.2,1/1/10
Open,38.4475,-123.05583,Mortality,114RRDSDM,114RRDSDM,Russian River downstream Duncan Mills,1.4,1/1/10
Open,38.06915,-122.79809,Mortality,201LAG125,201LAG125,Lagunitas Creek @ Coast Guard Station,1.4,1/1/10
Open,38.17545,-122.82044,Mortality,201WLK160,201WLK160,Walker Creek Ranch,8.1,1/1/10
Urban,37.582,-122.052,Mortality,204ALA020,204ALA020,Alameda Creek E. of Alvarado Blvd,6.8,1/1/10
Urban,37.72556,-122.18361,Mortality,204SLE030,204SLE030,San Leandro Creek at Empire Road,13.5,1/1/10
Urban,37.57028,-122.31861,Mortality,204SMA020,204SMA020,San Mateo Creek at Gateway Park,12.2,1/1/10
Urban,37.3954,-121.91485,Mortality,205COY060,205COY060,Coyote Creek at Montague,4.1,1/1/10
Urban,37.37389,-121.93194,Mortality,205GUA020,205GUA020,Guadalupe Creek @ USGS Gaging Station 11169025,2.7,1/1/10
Urban,38.240496,-122.45127,Mortality,206SON010,206SON010,Sonoma Creek at Hwy 121 bridge,2.7,1/1/10
Urban,38.0165,-121.83881,Mortality,207KIR020,207KIR020,Kirker Creek at Floodway,66.2,1/1/10
Urban,38.2483,-122.00668,Mortality,207LAU020,207LAU020,Laurel Creek @ Pintail Drive,4.1,1/1/10
Urban,37.98063,-122.0516,Mortality,207WAL020,207WAL020,Walnut Creek @ Concord Ave O.C.,17.6,1/1/10
Urban,36.97685,-122.0239,Mortality,304SLRWAT,304SLRWAT,San Lorenzo River below Water Street,,1/1/10
Urban,36.98014,-121.9562397,Mortality,304SOK,304SOK,Soquel Creek at Knob Hill Parking Lot,16.2,1/1/10
Urban/Ag,36.87977,-121.79195,Mortality,305THU,305THU,Pajaro River at Thurwachter Bridge,1.4,1/1/10
Urban,36.53638,-121.91168,Mortality,307CML,307CML,Carmel River at Highway 1,0,1/1/10
Open,36.64681,-121.70139,Mortality,309DAV,309DAV,Salinas River at Davis Road,1.3,1/1/10
Urban/Ag,36.77218,-121.7866,Mortality,309TDW,309TDW,Tembladero Slough at Monterey Dunes Way,67.5,1/1/10
Urban,35.09521,-120.60625,Mortality,310ARG,310ARG,Arroyo Grande Creek at 22nd Street,9.1,1/1/10
Open,35.18832,-120.71792,Mortality,310SLB,310SLB,San Luis Obispo Creek at San Luis Bay Drive,2.6,1/1/10
Open,34.960457,-120.642559,Mortality,312SMA,312SMA,Santa Maria River above Estuary,76.9,1/1/10
Open,34.78233,-120.52997,Mortality,313SAI,313SAI,San Antonio Creek at San Antonio Rd West,0,1/1/10
Open,34.67677,-120.55442,Mortality,314SYN,314SYN,Santa Ynez River at 13th Street,,1/1/10
Urban,34.42345,-119.819287,Mortality,315ATA,315ATA,Atascadero Creek at Ward Drive,2.6,1/1/10
Urban,34.41304,-119.69401,Mortality,315MIS,315MIS,Mission Creek at Montecito Street,0,1/1/10
Urban,34.28173,-119.30669,Mortality,402VRB0xx,402VRB0xx,Ventura River Bio 0,0,1/1/10
Urban,34.42782,-118.54022,Mortality,403STCBQT,403STCBQT,Bouquet Canyon Creek,100,1/1/10
Urban,34.23557,-119.21674,Mortality,403STCEST,403STCEST,Santa Clara River Estuary,9.3,1/1/10
Open,34.39414,-118.94096,Mortality,403STCSSP,403STCSSP,Sespe Creek,0,1/1/10
Urban,33.986,-118.417,Mortality,404BLNAxx,404BLNAxx,Ballona Creek Downstream of Sawtelle (Centinella),30.7,1/1/10
Urban,33.78708,-118.09367,Mortality,405SGRA2x,405SGRA2x,San Gabriel River RA-2,30.7,1/1/10
Urban,34.17978,-119.04053,Mortality,408CGCS06,408CGCS06,"Calleguas Creek Below Camrosa WWTP, Site 6",9.3,1/1/10
